animal_id,rat_type,timepoint,insulin_au,c_peptide_au,glucagon_au,glucose_start_mM,glucose_end_mM,insulin_start_ELISA_pM,insulin_end_ELISA_pM,c_peptide_start_ELISA_pM,c_peptide_end_ELISA_pM,glucagon_start_ELISA_pM,glucagon_end_ELISA_pM,,,
Rat1,Healthy,0,0.98025442,1.12755874,0.79192627,8.8,8.3,216.5,191.1477182,262.98,224.53,8.4,5.1,,,
Rat1,Healthy,2.5,1.0564231,0.96538745,0.72122779,8.8,8.3,216.5,191.1477182,262.98,224.53,8.4,5.1,,,
Rat1,Healthy,5,1.00105985,0.98535635,1.17949699,8.8,8.3,216.5,191.1477182,262.98,224.53,8.4,5.1,,,
Rat1,Healthy,7.5,0.98664133,1.13116526,1.13419739,8.8,8.3,216.5,191.1477182,262.98,224.53,8.4,5.1,,,
Rat1,Healthy,10,1.06873528,0.76734276,0.96475864,8.8,8.3,216.5,191.1477182,262.98,224.53,8.4,5.1,,,
Rat1,Healthy,12.5,1.01921809,1.09521224,1.22611782,8.8,8.3,216.5,191.1477182,262.98,224.53,8.4,5.1,,,
Rat1,Healthy,15,0.88766793,0.85595441,0.98227509,8.8,8.3,216.5,191.1477182,262.98,224.53,8.4,5.1,,,
Rat2,Healthy,0,0.9522861,0.96698434,0.63135207,9.4,8.7,440.1883578,378.1796155,306.69,325,7.9,7.07,,,
Rat2,Healthy,2.5,1.05504576,1.23466191,0.64201362,9.4,8.7,440.1883578,378.1796155,306.69,325,7.9,7.07,,,
Rat2,Healthy,5,1.236368,0.97172573,1.18034281,9.4,8.7,440.1883578,378.1796155,306.69,325,7.9,7.07,,,
Rat2,Healthy,7.5,0.92573311,0.86044409,0.97260209,9.4,8.7,440.1883578,378.1796155,306.69,325,7.9,7.07,,,
Rat2,Healthy,10,1.0913005,0.93805544,0.89679681,9.4,8.7,440.1883578,378.1796155,306.69,325,7.9,7.07,,,
Rat2,Healthy,12.5,1.0386028,1.071561,1.33383022,9.4,8.7,440.1883578,378.1796155,306.69,325,7.9,7.07,,,
Rat2,Healthy,15,0.94272492,1.06612854,0.92605135,9.4,8.7,440.1883578,378.1796155,306.69,325,7.9,7.07,,,
Rat3,Healthy,0,0.79146638,0.95416518,1.11117088,8.6,9,206.0301128,252.820112,178.78,275.6,5.64,4.89,,,
Rat3,Healthy,2.5,0.80618428,0.93669372,0.86328472,8.6,9,206.0301128,252.820112,178.78,275.6,5.64,4.89,,,
Rat3,Healthy,5,1.04818302,0.98984712,0.80441473,8.6,9,206.0301128,252.820112,178.78,275.6,5.64,4.89,,,
